date,immediate,staggered,spy
2025-12-24,133366.03569388017,133121.833090799,123416.57641434642
2025-12-26,133487.69907359482,133241.95519069643,123404.06147443232
2025-12-29,133512.8015023007,133273.59030477918,122964.29281424228
2025-12-30,133520.0123626979,133286.01198119702,122814.13535731297
2025-12-31,132621.54844074318,132390.85873372812,121904.21084629581
2026-01-02,134698.5409507839,134473.45209149388,122127.66853543342
2026-01-05,136421.34956080295,136200.5987878383,122941.05234169037
2026-01-06,135942.4985524487,135702.34379192587,123672.21070139746
2026-01-07,134748.717500747,134513.1122977997,123273.56567550234
2026-01-08,135720.2339792216,135492.1448234137,123261.05073558824
2026-01-09,137457.76943154665,137217.35603065853,124076.22394912147
2026-01-12,137625.73698512785,137378.98862176883,124271.07294387829
2026-01-13,138621.2247681725,138379.71321167948,124022.59628593244
2026-01-14,139254.20634386787,139022.77760817285,123412.99759979383
2026-01-15,140032.58810694504,139793.08221522905,123749.07883713841
2026-01-16,140504.0604320622,140261.6663558957,123645.39141429296
2026-01-20,137975.42125650728,137743.94130751773,121128.37185978118
2026-01-21,140614.64334429783,140390.31851049862,122526.32447234853
2026-01-22,141272.44279394273,141040.9759813622,123166.29943810428
2026-01-23,142374.82408848344,142137.75625151186,123210.99097593183
2026-01-26,141918.766996045,141685.20553688495,123836.67250551716
2026-01-27,144025.7721790197,143782.42662967907,124330.06882889621
2026-01-28,145137.79870450485,144894.16121807214,124317.55388898212
2026-01-29,145442.7034130838,145215.180510874,124070.8557272926
2026-01-30,145277.22704557952,145051.5308729544,123700.80848475828
2026-02-02,143300.18817390956,143071.70226448914,124315.76448170583
2026-02-03,143151.34679014876,142951.66825073416,123264.62955014083
2026-02-04,141632.80352477537,141459.62269656584,122667.54580391632
2026-02-05,140061.36152054806,139891.73035996573,121135.51857786637
2026-02-06,145323.31287582355,145142.44581085868,123459.47854489765
2026-02-09,147765.37684799015,147570.66959028912,124054.77288384586
2026-02-10,147097.44104204746,146907.8559361372,123727.6277718628
2026-02-11,148670.44013352977,148497.75375773336,123699.02998850198
2026-02-12,146430.32711900698,146247.77215783158,121788.01939455624
2026-02-13,146155.47746596174,145971.65925826735,121873.82365565869
2026-02-17,145803.82084269187,145616.98543088866,122070.46205769181
2026-02-18,148027.03453016313,147845.81912303588,122685.41805463933
2026-02-19,148727.76140795913,148542.34980663305,122361.85175720886
2026-02-20,148227.60383827297,148043.18258335095,123246.74638839783
2026-02-23,148749.34588764186,148571.7418935768,121988.23661114193
2026-02-24,149292.64518329722,149109.31469286646,122874.90973858723
2026-02-25,149733.62296690792,149548.77431321482,123911.76214500179
2026-02-26,147142.77459363383,146969.29331168882,123223.50591584592
2026-02-27,146917.47535811167,146753.327589908,122631.7903914503
2026-03-02,149700.65395190558,149530.60664996284,122701.51180910603
2026-03-03,147654.49511189014,147483.3816005245,121619.97877588392
2026-03-04,148100.9034462381,147925.72458226094,122478.05411996842
2026-03-05,147866.91896697145,147696.31733731012,121795.16611264145
2026-03-06,146927.18910354882,146753.54990534225,120198.78569076468
2026-03-09,147887.0767532271,147711.4226849271,121251.72094062594
2026-03-10,147054.21316203603,146879.16856307187,121056.86103484913
2026-03-11,148499.91331563576,148338.04096574266,120904.91417064355
2026-03-12,147696.5167452688,147541.60222224632,119068.98230516246
2026-03-13,147186.9617136784,147042.46815734886,118395.03042319701
2026-03-16,148576.81649292307,148430.03956485685,119599.92344828382
2026-03-17,148758.52784705325,148622.97583792417,119914.54270933283
2026-03-18,147893.05534462008,147758.97331330564,118241.29415171512
2026-03-19,147663.8377974038,147543.62515318644,117949.90445219807
2026-03-20,145672.18199564307,145564.50381419808,115942.36406451206
2026-03-23,146651.15103458066,146549.421548041,117159.76111849303
2026-03-24,147426.80198973953,147344.94758275113,116766.47340340682
2026-03-25,148258.7340671802,148165.78702347082,117417.18481282036
2026-03-26,146627.5525399809,146549.74958556768,115320.26134947932
2026-03-27,146283.45470469067,146228.4367583185,113353.83368506824
2026-03-30,144584.33505112096,144533.16982681194,112974.83940615247
